Rank;Bib;FIS Code;Last Name;First Name;Year of Birth;NSA Code;Time;Difference;Distance (m);Race Points;Ski;Race Day
1;9;511383;FEUZ;Beat;1987;SUI;1:42.53;0;0;0;Head;18.01.2020
2;7;291459;PARIS;Dominik;1989;ITA;1:42.82;0.29;8.32;3.54;Nordica;18.01.2020
3;5;202535;DRESSEN;Thomas;1993;GER;1:42.84;0.31;8.89;3.78;Rossignol;18.01.2020
4;11;53902;MAYER;Matthias;1990;AUT;1:42.91;0.38;10.89;4.63;Head;18.01.2020
5;3;511513;CAVIEZEL;Mauro;1988;SUI;1:42.95;0.42;12.03;5.12;Atomic;18.01.2020
6;15;422139;KILDE;Aleksander Aamodt;1992;NOR;1:43.01;0.48;13.75;5.85;Atomic;18.01.2020
7;1;6530104;BENNETT;Bryce;1992;USA;1:43.40;0.87;24.82;10.61;Fischer;18.01.2020
8;23;512124;HINTERMANN;Niels;1995;SUI;1:43.46;0.93;26.52;11.34;Atomic;18.01.2020
8;13;53980;KRIECHMAYR;Vincent;1991;AUT;1:43.46;0.93;26.52;11.34;Fischer;18.01.2020
10;34;511981;WEBER;Ralph;1993;SUI;1:43.53;1;28.49;12.19;Head;18.01.2020
11;19;421483;JANSRUD;Kjetil;1985;NOR;1:43.61;1.08;30.75;13.17;Head;18.01.2020
12;24;54157;DANKLMAIER;Daniel;1993;AUT;1:43.63;1.1;31.31;13.41;Atomic;18.01.2020
13;38;202525;SCHMID;Manuel;1993;GER;1:43.69;1.16;33;14.14;Rossignol;18.01.2020
14;20;6530319;COCHRAN-SIEGLE;Ryan;1992;USA;1:43.83;1.3;36.94;15.85;Rossignol;18.01.2020
15;30;990081;CASSE;Mattia;1990;ITA;1:44.07;1.54;43.65;18.77;Head;18.01.2020
15;21;194858;ALLEGRE;Nils;1994;FRA;1:44.07;1.54;43.65;18.77;Salomon;18.01.2020
15;16;511313;JANKA;Carlo;1986;SUI;1:44.07;1.54;43.65;18.77;Rossignol;18.01.2020
15;10;54005;STRIEDINGER;Otmar;1991;AUT;1:44.07;1.54;43.65;18.77;Salomon;18.01.2020
19;42;104537;ALEXANDER;Cameron;1997;CAN;1:44.10;1.57;44.49;19.14;Rossignol;18.01.2020
19;12;194167;MUZATON;Maxence;1990;FRA;1:44.10;1.57;44.49;19.14;Rossignol;18.01.2020
21;8;533866;NYMAN;Steven;1982;USA;1:44.12;1.59;45.05;19.38;Fischer;18.01.2020
22;40;934643;GOLDBERG;Jared;1991;USA;1:44.15;1.62;45.89;19.75;Head;18.01.2020
23;44;6290393;CAZZANIGA;Davide;1992;ITA;1:44.18;1.65;46.72;20.12;Atomic;18.01.2020
24;33;51215;BAUMANN;Romed;1986;GER;1:44.33;1.8;50.9;21.94;Salomon;18.01.2020
25;14;6190176;BAILET;Matthieu;1996;FRA;1:44.35;1.82;51.45;22.19;Salomon;18.01.2020
26;45;512281;ROESTI;Lars;1998;SUI;1:44.37;1.84;52.01;22.43;Rossignol;18.01.2020
27;6;530874;GANONG;Travis;1988;USA;1:44.39;1.86;52.56;22.68;Atomic;18.01.2020
28;35;512039;ROULIN;Gilles;1994;SUI;1:44.56;2.03;57.27;24.75;Head;18.01.2020
28;4;103271;THOMSEN;Benjamin;1987;CAN;1:44.56;2.03;57.27;24.75;Head;18.01.2020
30;31;200379;SANDER;Andreas;1989;GER;1:44.61;2.08;58.66;25.36;Atomic;18.01.2020
31;39;53981;KROELL;Johannes;1991;AUT;1:44.62;2.09;58.93;25.48;Fischer;18.01.2020
32;22;293550;MARSAGLIA;Matteo;1985;ITA;1:44.63;2.1;59.21;25.6;Fischer;18.01.2020
33;36;6190006;SCHULLER;Victor;1995;FRA;1:44.67;2.14;60.31;26.09;Head;18.01.2020
34;32;561255;CATER;Martin;1992;SLO;1:44.68;2.15;60.59;26.21;Stoeckli;18.01.2020
35;49;512038;ROGENTIN;Stefan;1994;SUI;1:44.70;2.17;61.14;26.46;Fischer;18.01.2020
36;37;561217;KOSI;Klemen;1991;SLO;1:44.72;2.19;61.69;26.7;Atomic;18.01.2020
37;46;194298;GIEZENDANNER;Blaise;1991;FRA;1:44.74;2.21;62.24;26.94;Atomic;18.01.2020
38;41;104531;CRAWFORD;James;1997;CAN;1:44.79;2.26;63.62;27.55;Head;18.01.2020
39;28;194368;RAFFORT;Nicolas;1991;FRA;1:44.86;2.33;65.55;28.41;Rossignol;18.01.2020
40;52;422120;SAUGESTAD;Stian;1992;NOR;1:44.87;2.34;65.82;28.53;Head;18.01.2020
41;26;292455;FILL;Peter;1982;ITA;1:45.00;2.47;69.4;30.11;Atomic;18.01.2020
42;53;194542;GIRAUD MOINE;Valentin;1992;FRA;1:45.02;2.49;69.94;30.36;Salomon;18.01.2020
43;50;561216;KLINE;Bostjan;1991;SLO;1:45.03;2.5;70.22;30.48;Nordica;18.01.2020
44;25;54009;WALDER;Christian;1991;AUT;1:45.05;2.52;70.77;30.72;Head;18.01.2020
45;47;502004;KOELL;Alexander;1990;SWE;1:45.08;2.55;71.59;31.09;Atomic;18.01.2020
46;48;561310;HROBAT;Miha;1995;SLO;1:45.10;2.57;72.14;31.33;Atomic;18.01.2020
47;18;202059;FERSTL;Josef;1988;GER;1:45.15;2.62;73.5;31.94;Head;18.01.2020
48;43;104468;READ;Jeffrey;1997;CAN;1:45.40;2.87;80.33;34.99;Atomic;18.01.2020
49;54;6290845;BOSCA;Guglielmo;1993;ITA;1:45.62;3.09;86.3;37.67;Head;18.01.2020
50;2;53817;FRANZ;Max;1989;AUT;1:45.63;3.1;86.58;37.79;Fischer;18.01.2020
51;51;6531520;MORSE;Sam;1996;USA;1:45.69;3.16;88.2;38.53;Fischer;18.01.2020
52;55;54371;BABINSKY;Stefan;1996;AUT;1:45.74;3.21;89.55;39.13;Head;18.01.2020
53;29;202345;SCHWAIGER;Dominik;1991;GER;1:45.76;3.23;90.1;39.38;Head;18.01.2020
54;58;104529;MULLIGAN;Sam;1997;CAN;1:45.77;3.24;90.37;39.5;Rossignol;18.01.2020
55;56;492063;ETXEZARRETA;Adur;1996;ESP;1:46.30;3.77;104.62;45.96;Head;18.01.2020
56;27;6290985;BUZZI;Emanuele;1994;ITA;1:47.24;4.71;129.56;57.42;Head;18.01.2020
57;17;191740;CLAREY;Johan;1981;FRA;1:47.36;4.83;132.72;58.89;Head;18.01.2020
58;59;221053;STEUDLE;Roy-Alexander;1993;GBR;1:49.98;7.45;199.83;90.83;Unknown;18.01.2020
1;7;53980;KRIECHMAYR;Vincent;1991;AUT;2:28.36;0;0;0;Fischer;19.01.2019
2;5;511383;FEUZ;Beat;1987;SUI;2:28.50;0.14;4.03;1.18;Head;19.01.2019
3;17;422139;KILDE;Aleksander Aamodt;1992;NOR;2:28.62;0.26;7.47;2.19;Head;19.01.2019
4;3;421328;SVINDAL;Aksel Lund;1982;NOR;2:28.88;0.52;14.91;4.38;Head;19.01.2019
5;18;6530104;BENNETT;Bryce;1992;USA;2:28.99;0.63;18.06;5.31;Fischer;19.01.2019
6;25;6290985;BUZZI;Emanuele;1994;ITA;2:29.16;0.8;22.9;6.74;Head;19.01.2019
7;19;511513;CAVIEZEL;Mauro;1988;SUI;2:29.20;0.84;24.04;7.08;Atomic;19.01.2019
8;41;561255;CATER;Martin;1992;SLO;2:29.28;0.92;26.32;7.75;Stoeckli;19.01.2019
9;15;293006;INNERHOFER;Christof;1984;ITA;2:29.42;1.06;30.29;8.93;Rossignol;19.01.2019
10;8;512039;ROULIN;Gilles;1994;SUI;2:29.62;1.26;35.96;10.62;Head;19.01.2019
11;1;291459;PARIS;Dominik;1989;ITA;2:29.63;1.27;36.24;10.7;Nordica;19.01.2019
12;16;191740;CLAREY;Johan;1981;FRA;2:29.69;1.33;37.94;11.21;Head;19.01.2019
13;14;103271;THOMSEN;Benjamin;1987;CAN;2:29.75;1.39;39.63;11.71;Head;19.01.2019
14;12;194190;ROGER;Brice;1990;FRA;2:29.82;1.46;41.61;12.3;Rossignol;19.01.2019
14;6;50742;REICHELT;Hannes;1980;AUT;2:29.82;1.46;41.61;12.3;Salomon;19.01.2019
16;29;512124;HINTERMANN;Niels;1995;SUI;2:29.85;1.49;42.46;12.55;Atomic;19.01.2019
17;2;511313;JANKA;Carlo;1986;SUI;2:29.86;1.5;42.74;12.64;Rossignol;19.01.2019
18;39;202525;SCHMID;Manuel;1993;GER;2:30.17;1.81;51.47;15.25;Rossignol;19.01.2019
18;4;192746;THEAUX;Adrien;1984;FRA;2:30.17;1.81;51.47;15.25;Head;19.01.2019
20;46;990081;CASSE;Mattia;1990;ITA;2:30.42;2.06;58.48;17.36;Head;19.01.2019
21;26;54005;STRIEDINGER;Otmar;1991;AUT;2:30.43;2.07;58.76;17.44;Salomon;19.01.2019
22;11;421483;JANSRUD;Kjetil;1985;NOR;2:30.47;2.11;59.88;17.78;Head;19.01.2019
23;30;194167;MUZATON;Maxence;1990;FRA;2:30.48;2.12;60.16;17.86;Rossignol;19.01.2019
24;27;530874;GANONG;Travis;1988;USA;2:30.66;2.3;65.19;19.38;Atomic;19.01.2019
25;24;51215;BAUMANN;Romed;1986;AUT;2:30.80;2.44;69.09;20.56;Salomon;19.01.2019
26;28;54009;WALDER;Christian;1991;AUT;2:30.81;2.45;69.37;20.64;Head;19.01.2019
27;45;561216;KLINE;Bostjan;1991;SLO;2:30.85;2.49;70.48;20.98;Nordica;19.01.2019
28;20;202059;FERSTL;Josef;1988;GER;2:30.90;2.54;71.87;21.4;Head;19.01.2019
29;33;202345;SCHWAIGER;Dominik;1991;GER;2:30.99;2.63;74.38;22.16;Head;19.01.2019
30;37;934643;GOLDBERG;Jared;1991;USA;2:31.02;2.66;75.21;22.41;Head;19.01.2019
31;49;180570;ROMAR;Andreas;1989;FIN;2:31.08;2.72;76.88;22.92;Head;19.01.2019
32;36;194858;ALLEGRE;Nils;1994;FRA;2:31.11;2.75;77.71;23.17;Salomon;19.01.2019
33;43;6530319;COCHRAN-SIEGLE;Ryan;1992;USA;2:31.51;3.15;88.78;26.54;Rossignol;19.01.2019
34;48;293550;MARSAGLIA;Matteo;1985;ITA;2:31.60;3.24;91.26;27.3;Rossignol;19.01.2019
35;40;194298;GIEZENDANNER;Blaise;1991;FRA;2:31.74;3.38;95.11;28.48;Head;19.01.2019
36;22;53981;KROELL;Johannes;1991;AUT;2:31.94;3.58;100.61;30.16;Fischer;19.01.2019
37;35;194368;RAFFORT;Nicolas;1991;FRA;2:32.17;3.81;106.91;32.1;Rossignol;19.01.2019
38;42;561310;HROBAT;Miha;1995;SLO;2:32.27;3.91;109.65;32.94;Atomic;19.01.2019
39;52;110324;von APPEN;Henrik;1994;CHI;2:32.35;3.99;111.83;33.62;Head;19.01.2019
40;38;501987;MONSEN;Felix;1994;SWE;2:32.39;4.03;112.92;33.95;Atomic;19.01.2019
41;31;54080;NEUMAYER;Christopher;1992;AUT;2:32.51;4.15;116.19;34.97;Salomon;19.01.2019
42;44;531452;BIESEMEYER;Thomas;1989;USA;2:32.67;4.31;120.55;36.31;Atomic;19.01.2019
43;32;310426;VUKICEVIC;Marko;1992;SRB;2:33.24;4.88;135.98;41.12;Fischer;19.01.2019
44;34;292514;HEEL;Werner;1982;ITA;2:33.51;5.15;143.25;43.39;Atomic;19.01.2019
45;51;370031;ALESSANDRIA;Arnaud;1993;MON;2:34.06;5.7;157.98;48.03;Salomon;19.01.2019
46;50;170131;FAARUP;Christoffer;1992;DEN;2:34.81;6.45;177.91;54.34;Atomic;19.01.2019
47;53;700878;BENDIK;Martin;1993;SVK;2:37.95;9.59;259.25;80.8;Atomic;19.01.2019
48;55;54106;BREITFUSS KAMMERLANDER;Simon;1992;BOL;2:41.07;12.71;336.94;107.09;Voelkl;19.01.2019
1;18;421328;SVINDAL;Aksel Lund;1982;NOR;1:48.79;0;0;0;Head;16.01.2016
2;19;50742;REICHELT;Hannes;1980;AUT;1:48.98;0.19;4.68;2.18;Salomon;16.01.2016
3;4;50753;KROELL;Klaus;1980;AUT;1:50.31;1.52;36.96;17.46;Salomon;16.01.2016
4;17;291459;PARIS;Dominik;1989;ITA;1:50.36;1.57;38.15;18.04;Nordica;16.01.2016
5;6;293006;INNERHOFER;Christof;1984;ITA;1:50.38;1.59;38.63;18.27;Rossignol;16.01.2016
6;2;191964;POISSON;David;1982;FRA;1:50.42;1.63;39.59;18.73;Salomon;16.01.2016
7;10;192746;THEAUX;Adrien;1984;FRA;1:50.51;1.72;41.74;19.76;Head;16.01.2016
8;13;511313;JANKA;Carlo;1986;SUI;1:50.58;1.79;43.41;20.57;Rossignol;16.01.2016
9;15;292455;FILL;Peter;1982;ITA;1:50.60;1.81;43.89;20.8;Atomic;16.01.2016
10;9;53817;FRANZ;Max;1989;AUT;1:50.65;1.86;45.08;21.37;Atomic;16.01.2016
11;12;511383;FEUZ;Beat;1987;SUI;1:50.77;1.98;47.94;22.75;Head;16.01.2016
12;22;421483;JANSRUD;Kjetil;1985;NOR;1:50.92;2.13;51.5;24.47;Head;16.01.2016
13;5;200379;SANDER;Andreas;1989;GER;1:51.10;2.31;55.76;26.54;Atomic;16.01.2016
14;16;102263;GUAY;Erik;1981;CAN;1:51.20;2.41;58.13;27.69;Head;16.01.2016
15;48;422139;KILDE;Aleksander Aamodt;1992;NOR;1:51.23;2.44;58.83;28.04;Atomic;16.01.2016
16;14;533866;NYMAN;Steven;1982;USA;1:51.34;2.55;61.43;29.3;Fischer;16.01.2016
17;8;51215;BAUMANN;Romed;1986;AUT;1:51.36;2.57;61.9;29.53;Salomon;16.01.2016
18;7;53980;KRIECHMAYR;Vincent;1991;AUT;1:51.46;2.67;64.25;30.68;Fischer;16.01.2016
19;1;54005;STRIEDINGER;Otmar;1991;AUT;1:51.48;2.69;64.72;30.91;Rossignol;16.01.2016
20;24;511529;GISIN;Marc;1988;SUI;1:51.68;2.89;69.4;33.21;Rossignol;16.01.2016
21;23;530939;WEIBRECHT;Andrew;1986;USA;1:51.72;2.93;70.34;33.67;Head;16.01.2016
22;21;192932;FAYED;Guillermo;1985;FRA;1:51.77;2.98;71.51;34.24;Head;16.01.2016
23;11;191740;CLAREY;Johan;1981;FRA;1:51.86;3.07;73.61;35.27;Head;16.01.2016
24;38;561216;KLINE;Bostjan;1991;SLO;1:51.90;3.11;74.54;35.73;Stoeckli;16.01.2016
25;54;192504;MERMILLOD BLONDIN;T.;1984;FRA;1:51.97;3.18;76.17;36.54;Rossignol;16.01.2016
25;42;294277;KLOTZ;Siegmar;1987;ITA;1:51.97;3.18;76.17;36.54;Nordica;16.01.2016
27;39;934643;GOLDBERG;Jared;1991;USA;1:52.03;3.24;77.57;37.23;Head;16.01.2016
28;47;511847;MANI;Nils;1992;SUI;1:52.04;3.25;77.8;37.34;Stoeckli;16.01.2016
29;40;194298;GIEZENDANNER;Blaise;1991;FRA;1:52.38;3.59;85.68;41.25;Head;16.01.2016
30;3;533131;SULLIVAN;Marco;1980;USA;1:52.44;3.65;87.06;41.94;Atomic;16.01.2016
31;45;990081;CASSE;Mattia;1990;ITA;1:52.45;3.66;87.29;42.05;Head;16.01.2016
